time,User%
2025-05-23 20:19:15,34.6
2025-05-23 20:19:16,30.8
2025-05-23 20:19:17,25.9
2025-05-23 20:19:18,9.1
2025-05-23 20:19:19,22.7
2025-05-23 20:19:20,77.4
2025-05-23 20:19:21,12.7
2025-05-23 20:19:22,11.8
2025-05-23 20:19:23,8.9
2025-05-23 20:19:24,25.8
2025-05-23 20:19:25,54.3
2025-05-23 20:19:26,17.1
2025-05-23 20:19:27,9.4
2025-05-23 20:19:28,10.2
2025-05-23 20:19:29,59.1
2025-05-23 20:19:30,24.0
2025-05-23 20:19:31,15.0
2025-05-23 20:19:32,12.2
2025-05-23 20:19:33,18.5
2025-05-23 20:19:34,70.8
2025-05-23 20:19:35,9.7
2025-05-23 20:19:36,9.8
2025-05-23 20:19:37,11.9
2025-05-23 20:19:38,38.3
2025-05-23 20:19:39,60.5
2025-05-23 20:19:40,10.0
2025-05-23 20:19:41,10.8
2025-05-23 20:19:42,8.9
2025-05-23 20:19:43,50.8
2025-05-23 20:19:44,20.1
2025-05-23 20:19:45,11.2
2025-05-23 20:19:46,10.1
2025-05-23 20:19:47,9.5
2025-05-23 20:19:48,65.1
2025-05-23 20:19:49,12.9
2025-05-23 20:19:50,8.7
2025-05-23 20:19:51,14.9
2025-05-23 20:19:52,42.1
2025-05-23 20:19:53,33.1
2025-05-23 20:19:54,9.7
2025-05-23 20:19:55,8.9
2025-05-23 20:19:56,10.0
2025-05-23 20:19:57,77.1
2025-05-23 20:19:58,10.9
2025-05-23 20:19:59,10.0
2025-05-23 20:20:00,9.2
2025-05-23 20:20:01,18.8
2025-05-23 20:20:02,49.7
2025-05-23 20:20:03,10.2
2025-05-23 20:20:04,12.2
2025-05-23 20:20:05,12.4
2025-05-23 20:20:06,62.1
2025-05-23 20:20:07,33.1
2025-05-23 20:20:08,16.8
2025-05-23 20:20:09,12.4
2025-05-23 20:20:10,10.2
2025-05-23 20:20:11,53.2
2025-05-23 20:20:12,12.0
2025-05-23 20:20:13,11.4
2025-05-23 20:20:14,10.0
2025-05-23 20:20:15,38.0
2025-05-23 20:20:16,46.7
2025-05-23 20:20:17,21.0
2025-05-23 20:20:18,10.2
2025-05-23 20:20:19,9.5
2025-05-23 20:20:20,63.5
2025-05-23 20:20:21,50.3
2025-05-23 20:20:22,10.1
2025-05-23 20:20:23,9.1
2025-05-23 20:20:24,10.0
2025-05-23 20:20:25,61.0
2025-05-23 20:20:26,29.4
2025-05-23 20:20:27,10.5
2025-05-23 20:20:28,10.0
2025-05-23 20:20:29,10.5
2025-05-23 20:20:30,59.2
2025-05-23 20:20:31,9.9
2025-05-23 20:20:32,10.0
2025-05-23 20:20:33,12.9
2025-05-23 20:20:34,36.1
2025-05-23 20:20:35,21.0
2025-05-23 20:20:36,9.7
2025-05-23 20:20:37,11.9
2025-05-23 20:20:38,10.2
2025-05-23 20:20:39,61.4
2025-05-23 20:20:40,10.8
2025-05-23 20:20:41,12.2
2025-05-23 20:20:42,9.7
2025-05-23 20:20:43,47.9
2025-05-23 20:20:44,74.5
2025-05-23 20:20:45,14.3
2025-05-23 20:20:46,10.0
2025-05-23 20:20:47,9.9
2025-05-23 20:20:48,36.8
2025-05-23 20:20:49,62.7
2025-05-23 20:20:50,9.2
2025-05-23 20:20:51,8.4
2025-05-23 20:20:52,10.3
2025-05-23 20:20:53,50.0
2025-05-23 20:20:54,59.9
2025-05-23 20:20:55,9.2
2025-05-23 20:20:56,10.6
2025-05-23 20:20:57,10.8
2025-05-23 20:20:58,49.2
2025-05-23 20:20:59,59.4
2025-05-23 20:21:00,11.4
2025-05-23 20:21:01,10.7
2025-05-23 20:21:02,8.7
2025-05-23 20:21:03,51.4
2025-05-23 20:21:04,24.5
2025-05-23 20:21:05,11.6
2025-05-23 20:21:06,9.2
2025-05-23 20:21:07,8.9
2025-05-23 20:21:08,63.6
2025-05-23 20:21:09,12.9
2025-05-23 20:21:10,9.8
2025-05-23 20:21:11,9.5
2025-05-23 20:21:12,39.6
2025-05-23 20:21:13,25.8
2025-05-23 20:21:14,10.3
2025-05-23 20:21:15,10.1
2025-05-23 20:21:16,11.6
2025-05-23 20:21:17,68.6
2025-05-23 20:21:18,10.3
2025-05-23 20:21:19,10.3
2025-05-23 20:21:20,12.4
2025-05-23 20:21:21,36.3
