timestamp,state,matrix_size_used
2025-05-23 17:04:14,normal,1200
2025-05-23 17:04:14,sleeping,0
2025-05-23 17:04:16,normal,1200
2025-05-23 17:04:16,sleeping,0
2025-05-23 17:04:17,normal,1800
2025-05-23 17:04:17,sleeping,0
2025-05-23 17:04:19,normal,1800
2025-05-23 17:04:19,sleeping,0
2025-05-23 17:04:21,normal,2200
2025-05-23 17:04:21,sleeping,0
2025-05-23 17:04:22,normal,2200
2025-05-23 17:04:23,sleeping,0
2025-05-23 17:04:24,normal,1600
2025-05-23 17:04:24,sleeping,0
2025-05-23 17:04:26,normal,1600
2025-05-23 17:04:26,sleeping,0
2025-05-23 17:04:28,normal,1600
2025-05-23 17:04:28,sleeping,0
2025-05-23 17:04:29,normal,1600
2025-05-23 17:04:29,sleeping,0
2025-05-23 17:04:31,normal,2200
2025-05-23 17:04:31,sleeping,0
2025-05-23 17:04:33,normal,1800
2025-05-23 17:04:33,sleeping,0
2025-05-23 17:04:35,normal,2200
2025-05-23 17:04:35,sleeping,0
2025-05-23 17:04:36,normal,1800
2025-05-23 17:04:37,sleeping,0
2025-05-23 17:04:38,normal,2200
2025-05-23 17:04:38,sleeping,0
2025-05-23 17:04:40,normal,1800
2025-05-23 17:04:40,sleeping,0
2025-05-23 17:04:42,normal,1800
2025-05-23 17:04:42,sleeping,0
2025-05-23 17:04:43,normal,1200
2025-05-23 17:04:43,sleeping,0
2025-05-23 17:04:45,normal,1800
2025-05-23 17:04:45,sleeping,0
2025-05-23 17:04:47,normal,2200
2025-05-23 17:04:47,sleeping,0
2025-05-23 17:04:49,normal,1800
2025-05-23 17:04:49,sleeping,0
2025-05-23 17:04:50,normal,2200
2025-05-23 17:04:51,sleeping,0
2025-05-23 17:04:52,normal,1800
2025-05-23 17:04:52,sleeping,0
2025-05-23 17:04:54,normal,1600
2025-05-23 17:04:54,sleeping,0
2025-05-23 17:04:56,normal,1800
2025-05-23 17:04:56,sleeping,0
2025-05-23 17:04:57,normal,1800
2025-05-23 17:04:58,sleeping,0
2025-05-23 17:04:59,normal,1600
2025-05-23 17:04:59,sleeping,0
2025-05-23 17:05:01,normal,1600
2025-05-23 17:05:01,sleeping,0
